country_name,region,trade_openness_2015,trade_openness_2023,trade_change,gini_2015,gini_2023,gini_change,pattern
United Kingdom,Europe & Central Asia,122.1,121.0,-1.0,33.58,39.01,5.43,Trade↓ Inequality↑
Austria,Europe & Central Asia,136.8,128.5,-8.2,38.3,33.17,-5.13,Trade↓ Inequality↓
New Zealand,East Asia & Pacific,107.1,99.5,-7.6,37.22,42.04,4.82,Trade↓ Inequality↑
Thailand,East Asia & Pacific,103.5,91.6,-12.0,33.04,37.53,4.49,Trade↓ Inequality↑
Czech Republic,Europe & Central Asia,149.2,149.5,0.3,30.11,34.49,4.38,Trade↑ Inequality↑
Denmark,Europe & Central Asia,139.5,135.1,-4.4,39.53,35.2,-4.33,Trade↓ Inequality↓
United States,North America,81.1,86.6,5.5,40.09,44.2,4.11,Trade↑ Inequality↑
Ghana,Sub-Saharan Africa,123.0,117.6,-5.4,43.98,47.65,3.67,Trade↓ Inequality↑
Singapore,East Asia & Pacific,87.7,92.4,4.7,41.14,44.3,3.16,Trade↑ Inequality↑
Tanzania,Sub-Saharan Africa,139.1,140.3,1.2,62.01,65.11,3.1,Trade↑ Inequality↑
Argentina,Latin America & Caribbean,136.1,124.1,-12.0,49.3,46.32,-2.98,Trade↓ Inequality↓
Philippines,East Asia & Pacific,82.0,93.9,11.9,40.77,37.89,-2.88,Trade↑ Inequality↓
Belgium,Europe & Central Asia,131.1,126.3,-4.8,30.38,33.04,2.66,Trade↓ Inequality↑
Portugal,Europe & Central Asia,44.8,30.3,-14.5,30.22,32.83,2.61,Trade↓ Inequality↑
Malaysia,East Asia & Pacific,81.8,79.1,-2.7,44.35,41.84,-2.51,Trade↓ Inequality↓
South Africa,Sub-Saharan Africa,38.3,55.9,17.5,38.82,41.25,2.43,Trade↑ Inequality↑
China,East Asia & Pacific,103.5,104.3,0.8,36.66,38.94,2.28,Trade↑ Inequality↑
Mexico,Latin America & Caribbean,92.5,91.6,-0.9,47.06,49.23,2.17,Trade↓ Inequality↑
Norway,Europe & Central Asia,129.1,126.9,-2.2,34.13,31.98,-2.15,Trade↓ Inequality↓
Nigeria,Sub-Saharan Africa,92.3,89.8,-2.5,61.94,64.05,2.11,Trade↓ Inequality↑
Spain,Europe & Central Asia,101.5,87.3,-14.2,27.76,25.71,-2.05,Trade↓ Inequality↓
Switzerland,Europe & Central Asia,129.3,138.7,9.4,27.13,28.97,1.84,Trade↑ Inequality↑
Finland,Europe & Central Asia,85.6,70.1,-15.5,33.11,31.33,-1.78,Trade↓ Inequality↓
Greece,Europe & Central Asia,104.4,94.5,-9.8,34.75,32.99,-1.76,Trade↓ Inequality↓
Vietnam,East Asia & Pacific,61.8,66.0,4.2,36.59,35.16,-1.43,Trade↑ Inequality↓
Chile,Latin America & Caribbean,145.7,145.6,-0.1,44.26,45.63,1.37,Trade↓ Inequality↑
France,Europe & Central Asia,87.0,89.4,2.4,29.04,30.35,1.31,Trade↑ Inequality↑
Hungary,Europe & Central Asia,55.1,57.3,2.2,31.91,30.62,-1.29,Trade↑ Inequality↓
Sweden,Europe & Central Asia,77.7,81.1,3.3,32.49,31.3,-1.19,Trade↑ Inequality↓
Egypt,Middle East & North Africa,108.8,99.3,-9.5,35.4,34.21,-1.19,Trade↓ Inequality↓
