country_name,region,gini_2015,gini_2017,gini_2019,gini_2021,gini_2023,gini_change_2015_2023
United Kingdom,Europe & Central Asia,33.58,38.28,37.69,36.73,39.01,5.43
Austria,Europe & Central Asia,38.3,35.19,34.56,36.19,33.17,-5.13
New Zealand,East Asia & Pacific,37.22,41.24,39.16,40.63,42.04,4.82
Thailand,East Asia & Pacific,33.04,34.65,34.58,36.03,37.53,4.49
Czech Republic,Europe & Central Asia,30.11,29.87,33.25,31.93,34.49,4.38
Denmark,Europe & Central Asia,39.53,34.88,36.36,35.04,35.2,-4.33
United States,North America,40.09,42.51,39.78,42.94,44.2,4.11
Ghana,Sub-Saharan Africa,43.98,45.69,48.06,45.6,47.65,3.67
Singapore,East Asia & Pacific,41.14,45.26,44.77,40.51,44.3,3.16
Tanzania,Sub-Saharan Africa,62.01,67.48,61.86,66.38,65.11,3.1
Argentina,Latin America & Caribbean,49.3,45.94,45.56,47.5,46.32,-2.98
Philippines,East Asia & Pacific,40.77,35.82,38.42,40.14,37.89,-2.88
Belgium,Europe & Central Asia,30.38,32.45,30.94,35.49,33.04,2.66
Portugal,Europe & Central Asia,30.22,31.88,33.19,31.14,32.83,2.61
Malaysia,East Asia & Pacific,44.35,40.66,39.6,40.04,41.84,-2.51
South Africa,Sub-Saharan Africa,38.82,39.27,40.46,41.65,41.25,2.43
China,East Asia & Pacific,36.66,36.18,36.51,35.87,38.94,2.28
Mexico,Latin America & Caribbean,47.06,48.24,50.5,49.31,49.23,2.17
Norway,Europe & Central Asia,34.13,36.58,34.73,33.97,31.98,-2.15
Nigeria,Sub-Saharan Africa,61.94,62.21,61.54,62.88,64.05,2.11
Spain,Europe & Central Asia,27.76,26.1,25.32,28.48,25.71,-2.05
Switzerland,Europe & Central Asia,27.13,27.09,28.04,30.7,28.97,1.84
Finland,Europe & Central Asia,33.11,29.02,28.69,28.81,31.33,-1.78
Greece,Europe & Central Asia,34.75,35.47,30.98,34.56,32.99,-1.76
Vietnam,East Asia & Pacific,36.59,38.68,35.79,33.93,35.16,-1.43
