country_name,region,gdp_pre_pandemic,gdp_2023,gdp_recovery_pct,gini_pre_pandemic,gini_2023,gini_change,recovery_status
Kenya,Sub-Saharan Africa,5571.0,7814.0,40.25,47.56,47.3,-0.26,Strong Recovery
Malaysia,East Asia & Pacific,16959.0,23680.0,39.63,39.6,41.84,2.24,Strong Recovery
Ghana,Sub-Saharan Africa,10064.0,13402.0,33.17,48.06,47.65,-0.41,Strong Recovery
Nigeria,Sub-Saharan Africa,5049.0,6717.0,33.03,61.54,64.05,2.51,Strong Recovery
Morocco,Middle East & North Africa,8961.0,11693.0,30.48,40.1,41.6,1.5,Strong Recovery
Vietnam,East Asia & Pacific,3229.0,4204.0,30.18,35.79,35.16,-0.63,Strong Recovery
Philippines,East Asia & Pacific,8507.0,10879.0,27.88,38.42,37.89,-0.53,Strong Recovery
India,South Asia,8665.0,10909.0,25.89,31.42,32.15,0.73,Strong Recovery
Mexico,Latin America & Caribbean,22248.0,27816.0,25.03,50.5,49.23,-1.27,Strong Recovery
Uganda,Sub-Saharan Africa,2292.0,2854.0,24.54,42.72,41.27,-1.45,Strong Recovery
Tanzania,Sub-Saharan Africa,8115.0,10008.0,23.33,61.86,65.11,3.25,Strong Recovery
Brazil,Latin America & Caribbean,17379.0,20976.0,20.7,53.88,55.5,1.62,Strong Recovery
Italy,Europe & Central Asia,47136.0,55981.0,18.76,30.87,30.35,-0.52,Strong Recovery
Hungary,Europe & Central Asia,79181.0,93591.0,18.2,32.66,30.62,-2.04,Strong Recovery
Ethiopia,Sub-Saharan Africa,1027.0,1203.0,17.16,57.28,59.57,2.29,Strong Recovery
Rwanda,Sub-Saharan Africa,2009.0,2351.0,17.02,57.79,54.65,-3.14,Strong Recovery
China,East Asia & Pacific,22667.0,26249.0,15.8,36.51,38.94,2.43,Strong Recovery
Switzerland,Europe & Central Asia,55745.0,64479.0,15.67,28.04,28.97,0.93,Strong Recovery
Egypt,Middle East & North Africa,5199.0,6014.0,15.67,38.12,34.21,-3.91,Strong Recovery
Portugal,Europe & Central Asia,63304.0,73201.0,15.63,33.19,32.83,-0.36,Strong Recovery
Netherlands,Europe & Central Asia,67133.0,77182.0,14.97,36.73,37.25,0.52,Strong Recovery
Czech Republic,Europe & Central Asia,81042.0,92899.0,14.63,33.25,34.49,1.24,Strong Recovery
Belgium,Europe & Central Asia,76200.0,87264.0,14.52,30.94,33.04,2.1,Strong Recovery
France,Europe & Central Asia,75613.0,86358.0,14.21,28.38,30.35,1.97,Strong Recovery
Spain,Europe & Central Asia,56683.0,64734.0,14.2,25.32,25.71,0.39,Strong Recovery
Australia,East Asia & Pacific,74823.0,84741.0,13.26,35.56,33.46,-2.1,Strong Recovery
New Zealand,East Asia & Pacific,70227.0,78587.0,11.9,39.16,42.04,2.88,Strong Recovery
Russia,Europe & Central Asia,15059.0,16821.0,11.7,31.92,33.21,1.29,Strong Recovery
Canada,North America,84605.0,94389.0,11.56,38.48,39.89,1.41,Strong Recovery
South Korea,East Asia & Pacific,53169.0,58969.0,10.91,36.74,36.24,-0.5,Strong Recovery
Argentina,Latin America & Caribbean,19192.0,21274.0,10.84,45.56,46.32,0.76,Strong Recovery
South Africa,Sub-Saharan Africa,18320.0,20172.0,10.11,40.46,41.25,0.79,Strong Recovery
Chile,Latin America & Caribbean,74183.0,81264.0,9.54,44.18,45.63,1.45,Strong Recovery
Denmark,Europe & Central Asia,74950.0,82092.0,9.53,36.36,35.2,-1.16,Strong Recovery
Turkey,Europe & Central Asia,11647.0,12656.0,8.67,34.43,32.96,-1.47,Strong Recovery
United States,North America,79572.0,86100.0,8.2,39.78,44.2,4.42,Strong Recovery
Finland,Europe & Central Asia,58507.0,61986.0,5.95,28.69,31.33,2.64,Strong Recovery
Austria,Europe & Central Asia,68356.0,71460.0,4.54,34.56,33.17,-1.39,Moderate Recovery
Germany,Europe & Central Asia,63254.0,65794.0,4.02,33.65,33.24,-0.41,Moderate Recovery
Poland,Europe & Central Asia,52251.0,54300.0,3.92,29.87,29.37,-0.5,Moderate Recovery
Norway,Europe & Central Asia,71791.0,74421.0,3.66,34.73,31.98,-2.75,Moderate Recovery
United Kingdom,Europe & Central Asia,71630.0,73892.0,3.16,37.69,39.01,1.32,Moderate Recovery
Sweden,Europe & Central Asia,57825.0,59230.0,2.43,28.31,31.3,2.99,Moderate Recovery
Thailand,East Asia & Pacific,15443.0,15763.0,2.07,34.58,37.53,2.95,Moderate Recovery
Indonesia,East Asia & Pacific,21517.0,21794.0,1.29,42.98,41.31,-1.67,Moderate Recovery
Japan,East Asia & Pacific,74430.0,74343.0,-0.12,43.59,41.71,-1.88,Stagnant
Singapore,East Asia & Pacific,79472.0,79148.0,-0.41,44.77,44.3,-0.47,Stagnant
Greece,Europe & Central Asia,61373.0,60891.0,-0.79,30.98,32.99,2.01,Stagnant
