country_name,region,gdp_per_capita_2015,gdp_per_capita_2023,avg_annual_growth_pct,income_category_2015,growth_rank
Ghana,Sub-Saharan Africa,7635.0,13402.0,7.29,Middle Income 2015,1
Kenya,Sub-Saharan Africa,4532.0,7814.0,7.05,Low Income 2015,2
Malaysia,East Asia & Pacific,14024.0,23680.0,6.77,Middle Income 2015,3
Nigeria,Sub-Saharan Africa,4045.0,6717.0,6.54,Low Income 2015,4
Vietnam,East Asia & Pacific,2545.0,4204.0,6.48,Low Income 2015,5
India,South Asia,6766.0,10909.0,6.15,Middle Income 2015,6
Morocco,Middle East & North Africa,7390.0,11693.0,5.9,Middle Income 2015,7
Tanzania,Sub-Saharan Africa,6482.0,10008.0,5.58,Middle Income 2015,8
Philippines,East Asia & Pacific,7127.0,10879.0,5.43,Middle Income 2015,9
Brazil,Latin America & Caribbean,13749.0,20976.0,5.42,Middle Income 2015,10
Mexico,Latin America & Caribbean,19172.0,27816.0,4.76,High Income 2015,11
Rwanda,Sub-Saharan Africa,1627.0,2351.0,4.71,Low Income 2015,12
Russia,Europe & Central Asia,11653.0,16821.0,4.69,Middle Income 2015,13
Uganda,Sub-Saharan Africa,1990.0,2854.0,4.61,Low Income 2015,14
Egypt,Middle East & North Africa,4207.0,6014.0,4.57,Low Income 2015,15
South Africa,Sub-Saharan Africa,14662.0,20172.0,4.07,Middle Income 2015,16
Argentina,Latin America & Caribbean,15882.0,21274.0,3.72,High Income 2015,17
Ethiopia,Sub-Saharan Africa,905.0,1203.0,3.63,Low Income 2015,18
Indonesia,East Asia & Pacific,16539.0,21794.0,3.51,High Income 2015,19
China,East Asia & Pacific,19933.0,26249.0,3.5,High Income 2015,20
Turkey,Europe & Central Asia,9875.0,12656.0,3.15,Middle Income 2015,21
Thailand,East Asia & Pacific,12335.0,15763.0,3.11,Middle Income 2015,22
Portugal,Europe & Central Asia,58660.0,73201.0,2.81,High Income 2015,23
Belgium,Europe & Central Asia,69972.0,87264.0,2.8,High Income 2015,24
Canada,North America,75927.0,94389.0,2.76,High Income 2015,25
Netherlands,Europe & Central Asia,62188.0,77182.0,2.74,High Income 2015,26
Spain,Europe & Central Asia,52140.0,64734.0,2.74,High Income 2015,26
Hungary,Europe & Central Asia,75640.0,93591.0,2.7,High Income 2015,28
Italy,Europe & Central Asia,45251.0,55981.0,2.7,High Income 2015,28
France,Europe & Central Asia,69841.0,86358.0,2.69,High Income 2015,30
South Korea,East Asia & Pacific,48161.0,58969.0,2.56,High Income 2015,31
Switzerland,Europe & Central Asia,52698.0,64479.0,2.55,High Income 2015,32
Chile,Latin America & Caribbean,66555.0,81264.0,2.53,High Income 2015,33
Australia,East Asia & Pacific,69959.0,84741.0,2.43,High Income 2015,34
Czech Republic,Europe & Central Asia,76937.0,92899.0,2.38,High Income 2015,35
New Zealand,East Asia & Pacific,66812.0,78587.0,2.05,High Income 2015,36
United States,North America,73601.0,86100.0,1.98,High Income 2015,37
Poland,Europe & Central Asia,46543.0,54300.0,1.95,High Income 2015,38
Austria,Europe & Central Asia,61256.0,71460.0,1.94,High Income 2015,39
Denmark,Europe & Central Asia,71086.0,82092.0,1.82,High Income 2015,40
