country_name,region,gini,poverty_rate,income_share_bottom_20pct,composite_inequality_score,inequality_quintile
Ethiopia,Sub-Saharan Africa,59.57,52.45,8.89,79.3,5
Tanzania,Sub-Saharan Africa,65.11,13.24,7.19,75.4,5
Rwanda,Sub-Saharan Africa,54.65,55.84,6.1,75.4,5
Nigeria,Sub-Saharan Africa,64.05,10.8,7.73,73.0,5
Brazil,Latin America & Caribbean,55.5,11.7,4.5,64.1,5
Mexico,Latin America & Caribbean,49.23,9.9,4.29,55.7,5
Ghana,Sub-Saharan Africa,47.65,14.93,4.41,55.1,5
Uganda,Sub-Saharan Africa,41.27,46.05,7.51,54.8,5
Kenya,Sub-Saharan Africa,47.3,10.98,4.45,53.5,5
Argentina,Latin America & Caribbean,46.32,12.3,5.98,51.9,4
Morocco,Middle East & North Africa,41.6,22.34,4.99,49.4,4
Philippines,East Asia & Pacific,37.89,33.99,4.75,48.3,4
Chile,Latin America & Caribbean,45.63,0.0,5.82,47.4,4
Singapore,East Asia & Pacific,44.3,0.0,5.06,46.1,4
Malaysia,East Asia & Pacific,41.84,10.09,5.62,45.7,4
United States,North America,44.2,0.0,8.95,44.0,4
South Africa,Sub-Saharan Africa,41.25,2.26,5.34,42.7,4
Japan,East Asia & Pacific,41.71,0.0,5.46,42.6,3
Indonesia,East Asia & Pacific,41.31,1.22,5.16,42.6,4
New Zealand,East Asia & Pacific,42.04,0.0,7.6,41.9,3
China,East Asia & Pacific,38.94,8.76,5.54,41.6,3
Egypt,Middle East & North Africa,34.21,29.59,8.88,40.2,3
Vietnam,East Asia & Pacific,35.16,17.17,4.74,39.8,3
Canada,North America,39.89,0.0,7.57,39.2,3
United Kingdom,Europe & Central Asia,39.01,0.0,5.56,39.1,3
India,South Asia,32.15,27.7,5.12,38.9,3
Thailand,East Asia & Pacific,37.53,7.15,7.45,38.4,3
Netherlands,Europe & Central Asia,37.25,0.0,4.62,37.3,3
South Korea,East Asia & Pacific,36.24,0.0,7.15,34.8,2
Denmark,Europe & Central Asia,35.2,0.0,7.9,33.1,2
