region,year,avg_gini,country_count,min_gini,max_gini
East Asia & Pacific,2015,38.66,11,33.04,44.35
East Asia & Pacific,2017,39.23,11,34.65,45.26
East Asia & Pacific,2019,38.88,11,34.58,44.77
East Asia & Pacific,2021,38.1,11,33.93,43.1
East Asia & Pacific,2023,39.13,11,33.46,44.3
Europe & Central Asia,2015,32.42,20,27.13,39.53
Europe & Central Asia,2017,32.01,20,26.1,38.28
Europe & Central Asia,2019,32.03,20,25.32,37.69
Europe & Central Asia,2021,32.33,20,27.6,36.96
Europe & Central Asia,2023,32.37,20,25.71,39.01
Latin America & Caribbean,2015,48.75,4,44.26,54.4
Latin America & Caribbean,2017,49.02,4,45.94,53.49
Latin America & Caribbean,2019,48.53,4,44.18,53.88
Latin America & Caribbean,2021,49.28,4,47.5,51.18
Latin America & Caribbean,2023,49.17,4,45.63,55.5
Middle East & North Africa,2015,38.97,2,35.4,42.54
Middle East & North Africa,2017,36.28,2,33.14,39.43
Middle East & North Africa,2019,39.11,2,38.12,40.1
Middle East & North Africa,2021,39.86,2,36.42,43.3
Middle East & North Africa,2023,37.91,2,34.21,41.6
North America,2015,40.4,2,40.09,40.71
North America,2017,39.71,2,36.91,42.51
North America,2019,39.13,2,38.48,39.78
North America,2021,41.7,2,40.45,42.94
North America,2023,42.05,2,39.89,44.2
South Asia,2015,31.22,1,31.22,31.22
South Asia,2017,31.66,1,31.66,31.66
South Asia,2019,31.42,1,31.42,31.42
South Asia,2021,31.26,1,31.26,31.26
South Asia,2023,32.15,1,32.15,32.15
Sub-Saharan Africa,2015,51.5,8,38.82,62.01
Sub-Saharan Africa,2017,52.52,8,39.27,67.48
Sub-Saharan Africa,2019,52.16,8,40.46,61.86
Sub-Saharan Africa,2021,52.32,8,40.88,66.38
Sub-Saharan Africa,2023,52.61,8,41.25,65.11
