income_group,country_name,gdp_per_capita,gdp_quartile,gini,inequality_rank
High income,Canada,94389.0,1,39.89,6
High income,Hungary,93591.0,1,30.62,21
High income,Czech Republic,92899.0,1,34.49,11
High income,Belgium,87264.0,1,33.04,15
High income,France,86358.0,1,30.35,22
High income,United States,86100.0,1,44.2,3
High income,Australia,84741.0,1,33.46,12
High income,Chile,81264.0,2,45.63,1
High income,Singapore,79148.0,2,44.3,2
Low income,Uganda,2854.0,1,41.27,3
Low income,Rwanda,2351.0,2,54.65,2
Low income,Ethiopia,1203.0,3,59.57,1
Lower middle income,Ghana,13402.0,1,47.65,3
Lower middle income,Morocco,11693.0,1,41.6,5
Lower middle income,India,10909.0,1,32.15,9
Lower middle income,Tanzania,10008.0,2,65.11,1
Lower middle income,Nigeria,6717.0,3,64.05,2
Upper middle income,Mexico,27816.0,1,49.23,2
Upper middle income,China,26249.0,1,38.94,7
Upper middle income,Malaysia,23680.0,1,41.84,4
Upper middle income,Argentina,21274.0,2,46.32,3
Upper middle income,Brazil,20976.0,2,55.5,1
