country_name,region,gdp_per_capita,gini,global_avg_gdp,global_avg_gini,gdp_vs_global,inequality_vs_global
Canada,North America,94389.0,39.89,46511.0,39.32,Above Average,More Unequal
Hungary,Europe & Central Asia,93591.0,30.62,46511.0,39.32,Above Average,Less Unequal
Czech Republic,Europe & Central Asia,92899.0,34.49,46511.0,39.32,Above Average,Less Unequal
Belgium,Europe & Central Asia,87264.0,33.04,46511.0,39.32,Above Average,Less Unequal
France,Europe & Central Asia,86358.0,30.35,46511.0,39.32,Above Average,Less Unequal
United States,North America,86100.0,44.2,46511.0,39.32,Above Average,More Unequal
Australia,East Asia & Pacific,84741.0,33.46,46511.0,39.32,Above Average,Less Unequal
Denmark,Europe & Central Asia,82092.0,35.2,46511.0,39.32,Above Average,Less Unequal
Chile,Latin America & Caribbean,81264.0,45.63,46511.0,39.32,Above Average,More Unequal
Singapore,East Asia & Pacific,79148.0,44.3,46511.0,39.32,Above Average,More Unequal
New Zealand,East Asia & Pacific,78587.0,42.04,46511.0,39.32,Above Average,More Unequal
Netherlands,Europe & Central Asia,77182.0,37.25,46511.0,39.32,Above Average,Less Unequal
Norway,Europe & Central Asia,74421.0,31.98,46511.0,39.32,Above Average,Less Unequal
Japan,East Asia & Pacific,74343.0,41.71,46511.0,39.32,Above Average,More Unequal
United Kingdom,Europe & Central Asia,73892.0,39.01,46511.0,39.32,Above Average,Less Unequal
Portugal,Europe & Central Asia,73201.0,32.83,46511.0,39.32,Above Average,Less Unequal
Austria,Europe & Central Asia,71460.0,33.17,46511.0,39.32,Above Average,Less Unequal
Germany,Europe & Central Asia,65794.0,33.24,46511.0,39.32,Above Average,Less Unequal
Spain,Europe & Central Asia,64734.0,25.71,46511.0,39.32,Above Average,Less Unequal
Switzerland,Europe & Central Asia,64479.0,28.97,46511.0,39.32,Above Average,Less Unequal
Finland,Europe & Central Asia,61986.0,31.33,46511.0,39.32,Above Average,Less Unequal
Greece,Europe & Central Asia,60891.0,32.99,46511.0,39.32,Above Average,Less Unequal
Sweden,Europe & Central Asia,59230.0,31.3,46511.0,39.32,Above Average,Less Unequal
South Korea,East Asia & Pacific,58969.0,36.24,46511.0,39.32,Above Average,Less Unequal
Italy,Europe & Central Asia,55981.0,30.35,46511.0,39.32,Above Average,Less Unequal
Poland,Europe & Central Asia,54300.0,29.37,46511.0,39.32,Above Average,Less Unequal
Mexico,Latin America & Caribbean,27816.0,49.23,46511.0,39.32,Below Average,More Unequal
China,East Asia & Pacific,26249.0,38.94,46511.0,39.32,Below Average,Less Unequal
Malaysia,East Asia & Pacific,23680.0,41.84,46511.0,39.32,Below Average,More Unequal
Indonesia,East Asia & Pacific,21794.0,41.31,46511.0,39.32,Below Average,More Unequal
Argentina,Latin America & Caribbean,21274.0,46.32,46511.0,39.32,Below Average,More Unequal
Brazil,Latin America & Caribbean,20976.0,55.5,46511.0,39.32,Below Average,More Unequal
South Africa,Sub-Saharan Africa,20172.0,41.25,46511.0,39.32,Below Average,More Unequal
Russia,Europe & Central Asia,16821.0,33.21,46511.0,39.32,Below Average,Less Unequal
Thailand,East Asia & Pacific,15763.0,37.53,46511.0,39.32,Below Average,Less Unequal
Ghana,Sub-Saharan Africa,13402.0,47.65,46511.0,39.32,Below Average,More Unequal
Turkey,Europe & Central Asia,12656.0,32.96,46511.0,39.32,Below Average,Less Unequal
Morocco,Middle East & North Africa,11693.0,41.6,46511.0,39.32,Below Average,More Unequal
India,South Asia,10909.0,32.15,46511.0,39.32,Below Average,Less Unequal
Philippines,East Asia & Pacific,10879.0,37.89,46511.0,39.32,Below Average,Less Unequal
Tanzania,Sub-Saharan Africa,10008.0,65.11,46511.0,39.32,Below Average,More Unequal
Kenya,Sub-Saharan Africa,7814.0,47.3,46511.0,39.32,Below Average,More Unequal
Nigeria,Sub-Saharan Africa,6717.0,64.05,46511.0,39.32,Below Average,More Unequal
Egypt,Middle East & North Africa,6014.0,34.21,46511.0,39.32,Below Average,Less Unequal
Vietnam,East Asia & Pacific,4204.0,35.16,46511.0,39.32,Below Average,Less Unequal
Uganda,Sub-Saharan Africa,2854.0,41.27,46511.0,39.32,Below Average,More Unequal
Rwanda,Sub-Saharan Africa,2351.0,54.65,46511.0,39.32,Below Average,More Unequal
Ethiopia,Sub-Saharan Africa,1203.0,59.57,46511.0,39.32,Below Average,More Unequal
